Price,Distance
13.69,50000
12.31,38000
11.66,140000
2.85,10000
3.08,170000
7.35,130000
1.85,10000
7.54,130000
7.38,80000
1.85,100000
2.31,153000
19.74,10000
2,200000
6.15,100000
8,140000
2.31,130000
6.46,95000
5.35,48000
11.35,50000
5.38,10000
6.15,140000
8.92,80000
23.08,20000
7.05,43000
8.15,120000
1.54,10000
2.69,230000
7.23,90000
7.66,100000
5.38,180000
3.08,98000
7.66,160000
21.35,65000
1.42,160000
18.46,15000
3.38,230000
6.62,160000
1.23,10000
21.23,70000
5.69,10000
5.23,110000
4.89,10000
8.43,60000
4.31,170000
1,100000
0.77,130000
3.23,190000
6.62,80000
8,70000
8.62,190000
4.77,60000
15.08,90000
5.54,120000
1.54,140000
5.38,100000
7.08,170000
5.51,80000
19.38,60000
10.46,80000
27.05,10000
5.82,75000
3.08,10000
6.92,120000
5.23,155000
6.15,200000
2.46,10000
4.58,210000
3.69,60000
6.15,88000
3.38,10000
6.15,10000
2.31,90000
6.46,160000
27.69,50000
6.15,110000
35.32,40000
2.4,150000
6.15,80000
3.85,200000
8.92,130000
7.38,185000
6.43,170000
4.31,10000
3.38,10000
13.23,10000
5.85,10000
4.15,10000
6,100000
3.85,170000
6.46,96000
5.85,150000
3.38,80000
3.69,10000
4.12,200000
26.15,12000
2,200000
5.54,170000
21.23,71000
5.85,10000
7.2,70000
1.08,200000
3.69,190000
6.92,140000
10.62,44000
1.54,230000
30.77,17000
13.85,50000
20,10000
2.31,10000
6.14,160000
12.31,30000
2.89,130000
2.69,200000
13.08,10000
10,12000
11.08,60000
10,46000
12.92,12000
3.23,150000
3.38,77000
2.77,200000
5.51,148000
9.2,200000
5.38,160000
9,107000
2.46,10000
1.85,100000
21.23,56000
7.38,120000
2.85,140000
7.85,90000
8.62,130000
5.54,180000
0.38,200000
1.23,10000
6.46,120000
7.69,60000
6.46,10000
10.31,11000
3.05,150000
12.77,60000
8,90000
1.85,170000
6.92,160000
1.38,220000
4.31,120000
10,10000
3.08,90000
8.62,120000
5.08,80000
6.15,110000
4.62,140000
3.35,10000
8.92,190000
1,100000
2.69,191000
0.92,100000
4.77,120000
8,80000
4.12,150000
4.77,100000
19.05,98000
1.52,220000
6.31,10000
0.58,200000
16.92,40000
6.46,140000
5.85,180000
10.77,19000
2.15,110000
6.62,70000
4.92,10000
1.54,110000
5.69,96000
14.62,19000
2.58,100000
3.69,200000
2.31,160000
2.58,110000
3.62,53000
1.52,160000
4.62,130000
1.23,90000
13.69,50000
7.38,70000
0.77,150000
16.92,10000
13.54,34000
5.23,150000
2.77,10000
8.28,70000
6.92,110000
5.85,200000
33.85,35000
8,120000
7.38,100000
14.77,90000
6.15,120000
8,120000
2,50000
6.46,100000
3,210000
10.15,70000
1.85,230000
21.23,108000
12.89,50000
6.62,128000
6.15,80000
8.23,100000
5.38,200000
11.54,40000
3.97,108000
14.62,53000
11.69,53000
2.58,150000
13.69,29000
7.23,150000
3.08,170000
5.38,10000
6.15,160000
7.69,100000
7.69,10000
8.77,118000
4.62,130000
0.92,120000
1.03,190000
13.85,10000
2.31,190000
6.12,55000
8.92,200000
7.38,40000
11.54,15000
0.77,100000
10,130000
2.46,150000
12.31,10000
32.31,60000
31.54,27000
2.31,180000
5.35,100000
18.46,40000
4.92,12000
1.54,180000
7.54,40000
18.77,40000
1.23,20000
2.77,50000
11.08,60000
7.66,68000
34.77,10000
4.62,190000
4.62,140000
11.54,30000
4.62,10000
9.15,160000
5.85,140000
2.31,140000
6.15,65000
4.12,100000
6.15,120000
